,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2018-01-02 00:00:00,-9.471531443942048,0.12361250866308225,0.41992331559024726,11.286083838996005,2018-01-01 23:00:00
1,2018-01-02 01:00:00,-12.787292158105458,0.06113120402027287,0.36302899011828316,4.874304322887734,2018-01-01 23:00:00
2,2018-01-02 02:00:00,-15.067999939896584,0.0007959585646857951,0.299962228840676,1.1127719071876594,2018-01-01 23:00:00
3,2018-01-02 03:00:00,-16.435310573049676,-0.017478984664107248,0.27936734010623127,-0.2039328148702843,2018-01-01 23:00:00
4,2018-01-02 04:00:00,-16.7243797174177,-0.025471193596834835,0.2678783369696013,-0.6585495347624077,2018-01-01 23:00:00
5,2018-01-02 05:00:00,-15.462630358936488,-0.0026760499581984626,0.2891614362427354,1.779543096362786,2018-01-01 23:00:00
6,2018-01-02 06:00:00,-12.408570255731012,0.07760621800216592,0.3555695025469019,10.703500931282393,2018-01-01 23:00:00
7,2018-01-02 07:00:00,-8.065377210596097,0.1685287011094984,0.4558900894774168,27.039395066072938,2018-01-01 23:00:00
8,2018-01-02 08:00:00,-3.5853621233679402,0.24546613433533407,0.5478015392618768,35.73436077541723,2018-01-01 23:00:00
9,2018-01-02 09:00:00,-0.08837264223666066,0.32410047547975473,0.6166756789600321,39.095156971360545,2018-01-01 23:00:00
10,2018-01-02 10:00:00,1.9931816034002319,0.37076541918857914,0.6552994567701279,40.39165650586773,2018-01-01 23:00:00
11,2018-01-02 11:00:00,2.957331143025647,0.3819035614046348,0.6739774249645181,40.54319541249843,2018-01-01 23:00:00
12,2018-01-02 12:00:00,3.291446447783777,0.4012001557543977,0.6984842507086335,40.105416348898615,2018-01-01 23:00:00
13,2018-01-02 13:00:00,3.146568590207738,0.3929692854145938,0.6896079745842525,40.24685266175393,2018-01-01 23:00:00
14,2018-01-02 14:00:00,2.372456013430844,0.3718755991682421,0.6757539701048333,36.44154233969388,2018-01-01 23:00:00
15,2018-01-02 15:00:00,1.034379594188997,0.3526852948355784,0.6550304067368099,35.09789736756826,2018-01-01 23:00:00
16,2018-01-02 16:00:00,-0.2166696034175823,0.3179496403037937,0.6101610718466793,34.4344937096516,2018-01-01 23:00:00
17,2018-01-02 17:00:00,-0.44195013409601014,0.32079480379014236,0.5996099592228987,34.953093523454456,2018-01-01 23:00:00
18,2018-01-02 18:00:00,0.7797337737721656,0.33535551643285083,0.644525930644982,38.202761187868575,2018-01-01 23:00:00
19,2018-01-02 19:00:00,2.780316214837052,0.38225878817837877,0.6886854050432859,44.5337199537738,2018-01-01 23:00:00
20,2018-01-02 20:00:00,4.079036908720999,0.4085994246828189,0.6983763605528536,45.73256108178565,2018-01-01 23:00:00
21,2018-01-02 21:00:00,3.3724025082204485,0.3960357064016019,0.7001980817324455,42.637799855260695,2018-01-01 23:00:00
22,2018-01-02 22:00:00,0.43629564783282465,0.3377844173156756,0.6263152870194876,33.380456425753536,2018-01-01 23:00:00
23,2018-01-02 23:00:00,-3.799423618158695,0.25309324087345025,0.5441216842993986,22.1059617724287,2018-01-01 23:00:00
24,2018-01-03 00:00:00,-5.913475608619536,0.2004228362898475,0.49744483749008217,14.135015283653347,2018-01-02 23:00:00
25,2018-01-03 01:00:00,-9.22929423302077,0.14126145387258032,0.43103868509611837,7.123815203539171,2018-01-02 23:00:00
26,2018-01-03 02:00:00,-11.51249696257691,0.08384080795519457,0.3838191235095738,2.9144011304638937,2018-01-02 23:00:00
27,2018-01-03 03:00:00,-12.88646819056054,0.04655475087308994,0.350523062766065,1.5842262833720924,2018-01-02 23:00:00
28,2018-01-03 04:00:00,-13.18477904781114,0.05499150723495267,0.34438857754296726,0.8568395315446815,2018-01-02 23:00:00
29,2018-01-03 05:00:00,-11.932640291969973,0.0789388735075346,0.3643102545021663,3.358915256580645,2018-01-02 23:00:00
30,2018-01-03 06:00:00,-8.889265870349064,0.12986492934476926,0.42330703626582067,12.461352248198619,2018-01-02 23:00:00
31,2018-01-03 07:00:00,-4.562331529635537,0.22944526474372387,0.5329346045057048,26.652128971350017,2018-01-02 23:00:00
32,2018-01-03 08:00:00,-0.10965724165721265,0.3227156209088469,0.6126193109051182,36.47521765227848,2018-01-02 23:00:00
33,2018-01-03 09:00:00,3.34628461137171,0.3912298240945462,0.6932308445236051,41.297522414393526,2018-01-02 23:00:00
34,2018-01-03 10:00:00,5.374769059648186,0.4406174755825817,0.7263976090293672,44.18349670289393,2018-01-02 23:00:00
35,2018-01-03 11:00:00,6.277606573011215,0.45679137008354587,0.7599346354065352,42.86679198083599,2018-01-02 23:00:00
36,2018-01-03 12:00:00,6.54448435361396,0.45597621440516173,0.7606483609515873,43.70193973293413,2018-01-02 23:00:00
37,2018-01-03 13:00:00,6.325802839868561,0.4567666369690082,0.7438271882046302,41.14598350776282,2018-01-02 23:00:00
38,2018-01-03 14:00:00,5.4694546636427,0.4460106490340833,0.742536371634732,35.44475308718965,2018-01-02 23:00:00
39,2018-01-03 15:00:00,4.040466422628451,0.4226269265961953,0.7067599178609085,34.511946928596174,2018-01-02 23:00:00
40,2018-01-03 16:00:00,2.692053386591249,0.37034266266889104,0.6919022829191844,34.33010024063932,2018-01-02 23:00:00
41,2018-01-03 17:00:00,2.365602376507135,0.37175907587613494,0.6670979549325632,34.84533252318374,2018-01-02 23:00:00
42,2018-01-03 18:00:00,3.482659841751361,0.4008118782095459,0.7068709561203312,35.49863358732502,2018-01-02 23:00:00
43,2018-01-03 19:00:00,5.3728571813509625,0.4325089189821311,0.7372432273152583,42.55697910505765,2018-01-02 23:00:00
