,horizon,mse,rmse,mae,mape,mdape,coverage
0,0 days 03:00:00,110.12715562047588,10.49414863723951,9.456940714561695,9.585398794346796,2.072229798805812,0.001846283694677428
1,0 days 04:00:00,83.87142344074226,9.158134277282805,8.21864809520345,11.251534457268777,2.55560570008321,0.004694835680751173
2,0 days 05:00:00,74.59044131219483,8.636575786282132,7.743109469812271,10.913775068505181,2.4609906651214217,0.009389671361502346
3,0 days 06:00:00,73.54769164922189,8.57599508215938,7.690505937256267,8.409698929312963,2.0756913852506393,0.011235955056179773
4,0 days 07:00:00,109.13623625337003,10.446829004696594,9.111200488838946,5.09839144176434,1.695560750020806,0.006541119375428601
5,0 days 08:00:00,242.024843163884,15.557147655141799,12.96789257212403,2.503412016976257,1.2011241739712473,0.006541119375428601
6,0 days 09:00:00,416.0927444170409,20.39835151224336,17.244048145284577,1.524130335633339,0.9990717798835302,0.009389671361502346
7,0 days 10:00:00,540.6988544375195,23.252932168600147,20.11743426905162,1.1356536516327906,0.8783906992830527,0.006541119375428601
8,0 days 11:00:00,595.9617662851742,24.41232816191799,21.627709123808824,0.9533771508559301,0.7995152783587953,0.001846283694677428
9,0 days 12:00:00,603.3215649526365,24.56260501153403,22.143986133806617,0.8835075070767344,0.7589843692184084,0.0
10,0 days 13:00:00,582.5225698243182,24.13550434161918,21.85461951383589,2.3591114044622183,0.7457743836387748,0.0
11,0 days 14:00:00,563.3578825174984,23.735161312228286,21.482172256464263,2.327552421965545,0.72243103257895,0.0
12,0 days 15:00:00,517.4599606061661,22.74774627531629,20.550353136427102,1.4397212864747746,0.7356266422065896,0.004694835680751173
13,0 days 16:00:00,462.2603223465659,21.50024005323117,19.30536074625637,0.9334419855735715,0.738678375430728,0.004694835680751173
14,0 days 17:00:00,431.9420298056349,20.783215097901355,18.484817300874017,0.9509180868919513,0.7574491499180214,0.001846283694677428
15,0 days 18:00:00,426.6395913228083,20.655255779651053,18.24424867056411,0.9379841507421525,0.7922485862203306,0.0
16,0 days 19:00:00,432.1476609245418,20.78816155711086,18.43644268803953,0.9580103083776845,0.7933478779468142,0.0
17,0 days 20:00:00,484.6870235443735,22.015608634429654,19.69873759278572,1.0044085117941406,0.7677947505605426,0.0
18,0 days 21:00:00,557.8793444329104,23.619469605241147,21.38645803080781,1.1862293197664993,0.7480637890697045,0.0
19,0 days 22:00:00,589.4681664512856,24.27896551443833,22.384882729095246,1.0718552766150085,0.7387385677492748,0.0
20,0 days 23:00:00,518.6773923931298,22.774489948034617,21.182894783612113,0.8734456686851375,0.7629754674556104,0.0
21,1 days 00:00:00,378.91109493944475,19.465638826903287,18.01254157379211,0.9658740505200868,0.8256060183142008,0.009389671361502346
